year,month,country,cpi,inflation_rate
2011,12,Canada,238.18,5.38
2016,11,France,53.51,0.6
2018,9,Germany,195.89,11.5
2004,1,France,264.18,7.5
1999,9,Japan,141.88,10.91
2009,6,Germany,99.06,8.65
2011,9,Japan,79.3,7.78
1998,12,USA,194.2,5.27
2021,10,Japan,139.88,1.31
2006,11,UK,239.56,6.02
2008,8,Canada,255.91,8.94
2016,7,Canada,274.45,2.21
2023,10,USA,52.16,1.13
1999,7,Germany,253.45,-0.58
2019,6,Germany,205.5,4.37
2010,11,India,130.35,7.52
2010,8,Vietnam,133.74,-1.67
2023,9,Japan,190.56,10.04
1998,8,USA,51.22,5.29
2023,9,Vietnam,132.97,-0.25
2001,5,Japan,274.58,8.76
2010,3,UK,212.54,11.8
2009,4,UK,88.98,8.79
1995,4,India,258.16,11.33
2001,9,USA,232.13,11.98
2020,9,France,66.23,2.37
1991,1,Canada,291.07,6.15
2005,5,USA,255.68,4.07
1990,2,Japan,85.68,6.04
1993,5,India,268.1,6.11
1990,11,Vietnam,281.44,4.91
2024,5,Canada,177.33,0.46
2002,3,Germany,122.39,-0.25
2020,4,USA,190.95,5.44
2009,7,USA,223.11,9.28
1996,10,USA,113.63,-1.68
2022,4,India,120.23,10.81
2017,3,Vietnam,242.53,1.32
2009,10,Canada,217.41,9.03
2021,4,UK,138.51,7.73
1998,11,Canada,142.63,10.63
2023,2,Germany,233.06,4.04
2003,1,Canada,136.2,2.41
1993,5,UK,127.17,-0.85
2018,9,Canada,241.72,1.22
2004,9,Vietnam,154.27,10.77
2006,1,Canada,247.81,4.19
2008,12,Vietnam,250.54,-1.9
1998,1,Canada,288.7,1.75
2016,8,Vietnam,209.55,3.51
2004,7,France,226.4,-1.79
2017,7,France,156.87,11.87
1993,9,Japan,202.57,8.78
2010,12,USA,101.69,3.75
2023,5,Japan,214.3,3.92
2008,8,France,277.5,4.29
1993,7,France,95.3,1.0
2021,2,Vietnam,182.33,1.62
2001,2,Japan,107.51,6.87
2005,4,USA,70.47,6.33
2003,1,Vietnam,71.07,4.96
1990,10,India,105.05,-0.63
2021,5,Japan,135.52,-0.5
2010,5,India,105.04,10.32
1993,1,France,247.32,-0.44
1998,5,UK,68.28,-0.31
2011,4,Canada,60.6,4.06
2001,12,Germany,95.49,1.86
2019,10,Canada,107.74,5.59
2019,11,Germany,216.27,10.06
2021,5,Germany,51.3,11.34
1996,4,Germany,278.5,-0.79
2006,9,Vietnam,120.89,8.14
1990,9,India,75.81,9.13
2003,3,UK,288.32,4.57
2015,3,India,275.95,4.85
2016,3,Japan,71.44,1.82
2005,7,France,160.83,-1.87
1996,1,USA,207.76,4.02
2021,4,Vietnam,246.34,9.7
2014,9,Japan,295.52,-0.33
2020,12,India,239.66,10.93
2005,8,Japan,185.83,1.47
2003,3,Japan,58.64,-1.12
2014,8,Japan,101.26,10.61
2019,6,UK,267.17,7.9
1996,10,UK,148.55,7.24
2001,11,Canada,75.53,7.25
1992,3,USA,249.07,10.14
2016,12,Germany,80.38,7.33
2008,9,Vietnam,120.91,-0.6
1996,10,Vietnam,57.31,6.74
2005,7,India,124.34,4.79
2021,8,Canada,254.45,6.56
1997,10,Canada,160.95,7.73
2002,11,India,102.16,9.7
2000,2,UK,169.91,10.09
2009,3,UK,50.83,6.11
2007,7,USA,225.18,3.19
1995,2,India,51.34,10.89
2009,6,India,128.52,2.17
2021,7,Canada,95.71,-0.9
2018,11,USA,286.3,9.17
1993,11,Vietnam,81.15,1.58
1996,6,USA,202.94,11.89
2009,5,Canada,143.22,1.65
2023,9,France,230.37,9.1
1996,3,France,133.97,0.0
2022,5,Canada,76.31,-0.54
2004,5,Japan,60.15,1.16
2021,8,USA,297.61,11.33
2011,8,France,290.82,7.94
2018,1,France,103.78,0.1
2014,6,Japan,72.1,-0.38
1994,12,Vietnam,201.93,1.94
2003,6,India,222.66,1.86
2024,11,France,233.6,9.94
1991,10,Japan,278.2,3.24
2014,2,Germany,113.47,8.38
2005,5,France,105.41,4.27
2005,6,UK,68.58,5.09
2000,3,Canada,87.53,0.61
2024,1,Japan,212.37,-1.73
2012,9,Canada,171.56,4.52
1994,2,Germany,229.31,2.58
2024,4,USA,205.55,11.79
2018,9,France,226.62,0.32
1994,9,Canada,182.69,-0.71
1992,8,France,287.07,2.84
1995,4,USA,218.62,2.36
2012,1,USA,226.48,5.44
1991,11,USA,270.79,1.87
2007,11,Canada,202.35,5.14
2019,7,Germany,107.04,1.53
1994,2,Canada,156.47,11.85
2000,8,UK,231.31,4.42
1990,10,Vietnam,281.54,7.82
1999,10,Vietnam,169.97,8.7
2015,11,Japan,105.96,11.42
2022,2,UK,128.64,4.54
2016,10,Japan,156.64,7.92
2001,3,UK,232.61,-1.72
1991,6,Germany,76.39,6.07
1990,4,Canada,61.88,8.37
1990,2,France,299.43,9.0
2022,1,Germany,137.76,-1.94
2011,3,USA,113.77,6.7
2001,4,France,207.22,8.06
2010,9,India,282.85,9.81
2009,9,Germany,159.92,6.23
2015,5,France,252.71,4.93
2020,12,Canada,118.79,-0.25
1990,5,Canada,183.76,3.6
2003,7,Germany,187.54,7.35
2015,8,USA,108.82,10.34
1996,3,India,193.07,-1.15
2001,12,Germany,194.08,-1.81
2013,5,Germany,194.71,8.55
2008,7,Canada,150.36,2.42
1998,11,France,208.82,1.7
2024,2,UK,135.13,6.77
1993,9,Japan,147.86,6.11
2021,3,Canada,60.3,5.88
1995,7,Japan,289.0,7.22
2017,12,Canada,229.42,8.68
2017,9,Canada,234.84,4.51
2018,9,Vietnam,246.64,-0.44
1994,3,UK,229.49,9.57
1994,2,Canada,266.95,6.97
2017,11,Vietnam,55.71,10.18
1998,5,Vietnam,76.13,7.02
2018,5,Japan,154.92,-0.62
2003,8,USA,265.44,-0.36
2023,6,Canada,122.31,0.56
2003,12,India,236.83,3.37
2007,7,Germany,117.11,2.53
2022,11,Japan,299.67,5.85
2023,8,Germany,260.27,-1.06
2017,9,UK,165.34,10.02
2012,4,Canada,271.83,3.92
2006,5,UK,201.29,10.29
2000,4,Japan,82.5,8.29
2021,9,UK,214.64,9.03
2004,12,Japan,179.12,0.77
1993,2,USA,100.6,8.67
2019,8,Japan,70.21,7.62
1999,11,UK,270.92,10.91
2012,7,USA,146.06,6.67
2013,7,Vietnam,271.3,10.36
1994,8,France,236.13,9.0
2008,11,USA,57.46,10.95
1997,11,Japan,253.52,2.68
1996,1,Germany,107.89,5.6
2002,1,Germany,154.55,1.65
2016,7,UK,139.03,9.9
2007,2,Canada,53.44,0.71
2013,12,Canada,263.66,5.77
1991,4,Canada,226.36,7.67
2005,12,Vietnam,166.95,11.78
2003,6,Japan,147.13,0.5
2006,5,Germany,289.77,-1.59
1995,5,Canada,268.76,8.91
2024,11,Japan,296.27,11.53
2006,6,Germany,130.64,7.53
1995,10,USA,207.99,6.08
2010,7,France,124.9,1.05
2024,2,France,65.32,7.97
2012,12,Japan,261.24,-0.23
2001,11,Canada,158.4,11.0
2018,4,Germany,268.67,10.54
2016,7,India,160.39,-0.68
1995,5,UK,61.42,3.93
2010,11,UK,61.9,-0.36
1996,12,Japan,223.73,9.21
2005,10,India,232.15,2.42
1994,9,USA,296.21,11.09
2004,6,UK,156.87,2.16
2010,4,Canada,253.44,-1.13
1993,11,Japan,124.17,1.62
1994,11,Vietnam,110.29,4.13
1996,12,UK,57.01,3.42
2024,10,Japan,183.04,10.0
2004,4,Vietnam,109.96,0.57
2017,3,France,199.94,3.98
1991,6,India,131.52,6.99
1994,8,Germany,231.1,7.88
1996,1,Canada,211.69,7.31
2011,2,France,284.93,10.64
2020,4,Canada,170.49,8.3
2021,7,Germany,114.61,-1.52
1997,12,Vietnam,158.99,8.22
2000,2,Canada,288.2,4.88
1990,11,Canada,200.25,7.03
2008,12,Germany,204.31,1.37
1996,10,Germany,288.08,7.49
2014,12,USA,292.85,4.47
2011,8,Japan,284.81,6.23
2016,3,USA,179.99,1.88
2004,2,France,229.27,-0.86
1991,7,Germany,142.48,10.45
1997,11,Canada,280.62,0.32
1995,12,Germany,270.79,8.43
2009,10,India,224.71,2.77
2016,9,UK,86.85,-0.66
2012,4,Germany,139.5,4.44
2006,2,USA,283.45,-0.5
2002,9,France,252.05,3.17
1993,10,Vietnam,81.81,10.11
2009,5,USA,289.44,-1.16
2014,10,Canada,77.93,-1.68
2011,7,Vietnam,53.89,1.26
2006,10,Canada,167.47,4.64
2000,5,USA,276.69,5.36
2014,12,India,82.06,9.0
1994,5,USA,63.29,-0.75
2010,6,Vietnam,247.77,11.7
2015,5,Japan,168.95,2.62
2005,8,Vietnam,299.95,7.69
2010,11,Japan,80.81,2.74
2021,12,France,61.88,0.8
1993,11,India,121.96,11.24
1997,4,Japan,75.81,0.22
1998,3,Vietnam,68.56,10.09
2006,3,India,299.12,7.85
2002,2,India,276.76,1.04
1998,8,India,181.88,3.09
1995,7,Vietnam,59.0,8.49
2016,6,Vietnam,261.52,6.98
2013,2,Japan,141.9,7.72
1998,2,Canada,232.11,10.85
2000,10,Vietnam,235.62,1.64
2024,1,Germany,270.58,-0.26
2018,12,Canada,299.73,2.5
1997,10,Japan,278.14,0.45
2006,2,India,242.71,7.21
1996,9,UK,136.09,2.89
2001,1,France,274.69,10.53
2004,10,Japan,122.83,11.14
2018,4,UK,212.26,11.72
2013,2,Japan,296.76,2.47
2003,5,Canada,274.92,8.99
2000,10,India,189.61,0.06
2024,8,France,79.5,0.12
2006,1,Japan,246.96,9.76
2016,9,France,191.58,4.56
1992,7,France,195.41,4.1
1991,5,USA,185.55,7.72
1993,5,USA,132.44,0.76
2007,9,India,79.29,5.19
2009,9,Germany,121.31,9.97
2010,2,UK,249.87,4.67
2003,8,Vietnam,68.12,-1.36
1997,5,Japan,214.66,0.52
1991,2,India,129.49,8.62
2015,9,France,130.42,1.27
2008,4,France,180.72,-1.89
2017,5,UK,148.7,0.7
2018,7,Canada,257.44,6.87
1994,2,Japan,268.95,-0.48
2017,5,Japan,250.93,8.17
2015,8,Germany,279.01,-0.91
1994,12,UK,180.67,6.83
2004,11,France,134.81,-0.66
1998,1,Japan,114.16,-1.3
2021,12,Germany,255.88,-0.55
2015,11,USA,117.91,11.01
2004,8,Canada,223.82,3.75
1993,2,Germany,137.34,4.52
2009,4,UK,182.25,7.46
2016,11,France,262.59,10.72
2010,12,Canada,91.09,6.42
2011,3,Germany,126.47,-1.87
1996,2,France,68.74,10.96
2020,10,France,140.02,2.31
2006,10,Canada,224.43,-1.06
1996,2,USA,189.14,11.4
2008,10,USA,135.6,0.92
2017,6,France,159.39,7.36
1999,3,UK,107.33,8.14
2016,10,France,209.08,10.13
2002,4,India,90.81,6.74
1991,4,Germany,119.53,12.0
2011,2,UK,229.18,10.67
2009,4,Japan,128.72,-0.26
1994,2,Germany,236.29,5.48
1995,4,USA,83.57,10.02
2024,8,Germany,226.73,3.03
1990,9,UK,168.2,10.57
2024,4,France,177.96,1.82
1992,4,India,166.77,5.44
1996,7,India,115.25,9.24
2018,1,Vietnam,210.71,8.66
2004,7,Japan,129.04,-0.12
2000,9,UK,161.64,5.17
2007,4,France,120.28,1.07
1993,2,Vietnam,145.02,3.49
2013,4,Germany,50.7,9.64
2000,2,France,175.56,4.38
1995,10,USA,177.58,7.34
2007,7,Germany,181.13,0.51
2004,6,Canada,170.67,11.12
1992,12,Germany,156.5,9.56
2006,11,USA,216.24,-1.57
2022,2,Japan,100.39,-1.46
2023,6,Vietnam,193.66,7.32
2019,9,India,275.07,4.26
2008,11,Canada,79.85,6.69
1998,8,Vietnam,88.08,6.72
2020,9,India,266.57,0.78
2016,5,Vietnam,276.64,9.05
2014,10,Canada,242.36,8.55
1996,2,Vietnam,67.5,8.11
1996,5,Germany,75.89,1.53
2009,10,Vietnam,268.56,2.64
2008,3,Canada,299.43,5.54
1991,11,UK,258.3,1.21
2023,4,India,284.73,6.93
2006,7,Canada,280.39,11.88
2013,2,France,118.17,8.13
1998,6,Vietnam,158.24,7.67
1990,11,Japan,264.13,1.3
2017,1,France,153.48,11.38
2004,10,Japan,128.7,0.78
2010,3,USA,69.51,1.01
2004,11,UK,122.3,1.55
2012,7,France,296.0,6.56
1991,11,India,282.33,-0.84
1998,12,UK,260.66,5.65
1991,5,France,239.8,8.98
1991,12,India,117.34,8.01
2007,8,USA,114.72,2.76
2006,7,UK,174.35,3.06
1997,7,UK,190.9,4.95
2023,1,India,150.87,8.85
2023,1,Germany,189.99,1.99
1994,6,India,169.77,8.8
2018,8,UK,204.25,9.73
2017,3,USA,181.71,1.46
2005,8,USA,104.34,5.88
2003,8,Germany,181.98,8.67
1991,1,Germany,182.15,5.79
1993,11,UK,65.66,-1.74
2020,5,Germany,115.33,11.11
2015,9,France,199.88,6.1
2016,11,USA,154.95,-1.44
2023,10,UK,250.58,6.37
2020,10,Vietnam,65.52,4.38
2000,11,Vietnam,81.79,6.55
1997,12,Germany,295.59,2.5
2001,3,USA,207.17,7.82
2024,9,Germany,201.47,10.68
2023,11,USA,241.74,2.07
2002,9,Vietnam,130.73,-1.9
2016,1,UK,214.29,10.43
1997,2,USA,163.67,9.01
2010,3,Vietnam,140.42,2.67
2000,4,Japan,92.63,8.66
2011,12,India,70.94,2.76
2010,5,Canada,53.91,6.84
2017,5,USA,125.51,-1.44
1992,10,France,54.27,11.45
1996,11,France,118.5,2.52
2003,5,Japan,206.31,9.34
2004,3,Germany,88.46,0.84
1998,6,Vietnam,162.83,2.81
1996,4,France,86.82,11.51
2001,9,Vietnam,140.51,1.5
2008,12,India,266.78,8.31
2016,2,USA,222.08,-0.24
2007,11,USA,234.7,11.44
2002,1,UK,169.01,1.93
1990,7,USA,278.01,7.8
2010,9,India,86.96,0.78
2023,10,Germany,79.94,8.39
2002,9,UK,129.44,6.27
2012,3,India,74.66,-0.74
1990,12,France,125.4,1.61
2012,11,Canada,191.72,1.03
2017,1,USA,151.12,-0.95
2021,9,Vietnam,159.25,0.95
1997,7,India,90.41,-1.02
2015,8,India,161.31,4.87
2003,11,Vietnam,280.26,2.02
2013,6,Germany,65.74,3.01
2018,10,Vietnam,220.51,9.3
1993,6,Canada,208.56,2.57
2007,11,France,251.33,0.34
2003,4,France,200.73,10.76
2016,2,Vietnam,149.33,8.33
1992,1,France,247.95,11.0
2019,6,USA,139.82,8.67
2012,9,Japan,113.17,-0.27
2007,10,Vietnam,185.28,6.82
1999,10,UK,286.46,5.87
2001,2,Vietnam,187.33,8.75
1997,1,Vietnam,298.7,4.9
2021,1,Germany,251.32,5.1
2006,7,Canada,265.24,6.08
2003,1,UK,229.25,6.26
1998,9,France,139.03,0.01
2015,9,Canada,171.01,5.15
2013,11,Vietnam,227.97,2.82
2012,3,USA,124.37,7.93
2020,11,Vietnam,263.62,0.85
1991,2,France,172.07,9.46
2007,9,Vietnam,219.65,0.14
2005,3,UK,173.99,-1.25
2018,2,India,291.42,4.92
2000,4,India,159.47,2.09
1991,7,India,155.39,11.39
2003,4,Canada,208.06,-1.02
1993,8,Japan,79.79,12.0
2023,12,India,228.11,3.46
1998,5,India,61.99,9.02
1996,2,USA,281.83,10.85
2006,10,India,183.49,2.65
2012,4,France,123.29,1.72
2000,12,Canada,114.58,8.32
2011,7,Japan,232.76,9.21
2007,1,Canada,71.31,5.98
2017,7,Japan,281.79,1.12
2005,3,Germany,176.57,3.06
1993,7,France,220.86,11.06
2011,3,Japan,68.72,1.73
2000,12,India,111.13,3.23
2010,12,France,51.26,10.98
2005,8,France,96.45,8.37
1998,4,France,188.39,8.81
2024,1,Canada,174.72,-1.09
2023,1,France,245.05,6.17
1998,4,UK,210.52,3.86
2002,9,Germany,230.09,4.68
1995,5,Japan,111.43,6.95
1993,5,Germany,177.75,-1.33
2017,3,Canada,279.28,10.28
2000,5,USA,172.51,1.7
2023,7,France,104.8,9.28
2024,3,India,197.23,8.58
1994,5,Canada,87.27,8.04
2000,12,India,217.57,9.76
2001,3,Vietnam,163.75,11.84
2008,1,Vietnam,131.03,-0.43
2002,6,Germany,109.76,-1.06
1993,3,Japan,207.59,7.85
2003,2,UK,150.91,11.71
1991,3,Japan,259.62,1.24
1997,5,Germany,64.6,3.83
2011,5,Vietnam,143.88,3.08
2002,9,Japan,74.38,11.81
2010,12,Germany,261.59,2.41
2010,11,India,132.31,7.49
2017,9,India,196.25,8.85
2022,2,India,203.01,3.81
2018,11,Germany,255.11,-0.1
2011,6,Canada,293.39,7.77
2015,9,Vietnam,121.15,1.71
2000,9,India,165.06,-0.51
2000,11,USA,185.98,2.74
2023,6,Canada,107.08,1.28
2008,1,Canada,91.84,3.43
2003,1,UK,52.16,1.01
2018,9,Germany,63.12,4.03
2008,3,Vietnam,239.64,0.9
2010,5,Vietnam,229.98,9.06
2013,6,India,56.64,11.65
2015,1,USA,168.33,1.84
2001,1,Canada,84.59,4.99
2008,4,Japan,103.15,-0.46
2019,6,UK,278.8,0.72
2004,8,Vietnam,216.43,-0.93
1992,7,Vietnam,135.72,8.42
2002,2,UK,287.21,6.09
1998,4,France,283.39,2.31
2002,5,India,151.3,11.2
2005,8,Germany,116.83,0.09
2003,7,Vietnam,286.6,0.17
1997,4,France,261.38,-1.75
2008,8,Canada,153.05,0.65
2021,11,Germany,140.53,2.36
2024,8,USA,210.97,11.45
2012,4,Germany,259.43,11.35
2010,11,India,77.98,-0.44
2007,12,UK,197.34,6.78
2003,12,France,133.6,0.55
2005,2,France,137.86,8.3
2013,3,Canada,195.77,3.17
2021,5,UK,286.12,1.75
2000,1,UK,203.41,-0.01
2000,5,India,175.79,7.43
1993,4,Japan,216.36,3.99
2015,5,India,104.34,3.95
1994,12,UK,199.39,5.13
2022,12,UK,103.19,4.71
2003,1,France,175.26,3.48
2021,10,Germany,203.72,4.15
1996,7,France,154.85,8.59
1999,10,UK,206.94,10.95
1991,9,Canada,270.18,9.05
1999,5,Vietnam,61.34,3.5
2024,3,Canada,263.59,0.57
2010,9,USA,190.52,-0.36
1997,6,India,228.46,11.2
2007,12,Canada,249.09,1.57
1998,6,Germany,88.15,8.39
2019,10,Germany,63.23,1.96
1993,10,Vietnam,183.57,2.98
2024,3,Japan,157.12,3.5
2003,1,Japan,191.29,7.61
2003,4,UK,251.37,6.55
2009,4,USA,151.8,9.37
2018,3,Canada,221.02,10.08
2012,11,France,155.86,8.38
2010,5,USA,237.49,11.87
2020,9,Germany,285.44,1.45
2021,9,Canada,108.41,5.52
1996,8,India,66.58,9.14
2002,12,Japan,169.95,2.91
2012,10,Canada,156.69,2.92
1997,6,Germany,108.85,6.57
2001,4,Japan,219.87,9.49
2005,2,Japan,65.58,0.55
2015,12,Canada,204.1,5.95
2018,10,USA,70.28,11.13
2018,3,Germany,273.46,7.76
1995,9,USA,192.83,10.42
2022,1,France,190.32,-1.95
2020,7,Vietnam,243.84,4.66
2007,10,USA,236.35,8.14
2020,6,Germany,53.89,1.06
2005,2,India,272.99,7.26
2003,5,Japan,194.15,0.74
1993,2,France,259.03,1.43
2019,9,USA,232.39,7.9
2022,5,India,57.88,-0.72
2019,6,UK,80.26,4.89
2003,4,France,95.14,5.37
2012,1,Germany,137.52,1.8
2017,3,UK,155.75,11.03
1996,5,Vietnam,233.28,11.16
1999,3,Vietnam,142.67,9.58
1993,8,France,257.45,3.49
2002,2,UK,171.15,5.21
2010,12,Germany,136.85,11.4
2022,2,Japan,252.83,4.53
2017,1,France,86.6,2.89
2012,12,India,197.87,-1.33
2021,1,UK,56.72,4.57
1994,4,France,236.18,9.62
2015,8,Canada,202.57,11.3
2015,8,UK,255.25,4.26
1992,8,India,116.84,3.79
2013,11,UK,245.78,5.46
2023,1,Germany,124.52,8.35
2023,1,India,139.31,10.84
2009,7,USA,285.52,5.47
2019,7,France,164.47,1.39
2009,10,USA,180.64,-0.53
2007,5,Japan,284.05,6.74
2009,8,France,287.07,10.54
1995,6,Canada,135.73,4.09
2014,1,Vietnam,165.06,10.36
1992,7,UK,182.71,6.0
2008,8,Germany,127.09,5.4
1999,12,Canada,220.02,2.2
1994,8,India,114.63,2.34
2011,10,Vietnam,89.44,3.14
1998,9,Vietnam,283.12,4.13
2022,3,UK,52.93,11.7
2004,2,Vietnam,204.08,0.2
2013,8,Germany,223.49,4.89
2019,11,Germany,236.78,11.81
1995,4,USA,178.41,6.32
2004,2,USA,112.18,5.45
2011,2,Germany,250.9,2.6
1992,2,France,71.04,7.46
2018,5,UK,289.01,4.28
2018,8,France,128.45,1.48
2020,9,India,68.07,8.07
1991,11,France,75.49,4.41
2024,6,Japan,297.62,4.29
1998,8,Canada,202.08,-1.7
2011,6,UK,202.56,10.6
2008,1,Canada,255.95,7.59
1999,11,Germany,172.69,6.48
2010,9,India,112.84,1.45
2006,10,Japan,87.49,0.37
1992,7,Canada,82.28,3.36
1996,2,Germany,248.52,4.36
1992,3,India,267.78,4.15
2002,2,Canada,259.05,7.05
2019,9,India,292.12,5.2
2012,8,Japan,268.34,8.1
1996,5,Canada,152.84,7.82
2019,4,France,91.16,6.52
2018,7,Germany,246.43,5.4
1997,9,France,176.82,2.55
1999,8,Vietnam,137.93,2.31
2022,8,USA,55.74,3.55
2009,11,UK,249.05,9.51
2018,2,Vietnam,268.96,4.57
2018,12,France,192.05,8.9
2010,12,Vietnam,288.6,9.84
1990,10,France,60.89,0.94
2023,9,Japan,69.36,-0.27
2021,2,UK,79.99,5.35
2003,8,Japan,141.44,11.72
2024,5,USA,138.38,-1.74
2013,11,Canada,204.62,0.09
1990,6,UK,262.66,0.52
1995,10,India,74.15,3.81
1993,9,France,179.58,10.07
1990,8,Canada,67.3,4.15
2020,5,Canada,80.66,2.6
1998,6,Vietnam,241.44,-0.12
2012,5,India,188.03,9.65
2020,9,UK,123.02,11.01
2018,11,France,128.64,-1.48
2010,12,Germany,177.53,8.75
1992,5,Canada,157.03,3.57
2015,6,India,71.43,3.04
1995,1,France,140.45,-0.41
2009,8,Canada,192.86,9.26
2002,8,Japan,262.82,11.48
2012,8,Germany,129.34,8.54
2004,12,Japan,107.59,3.71
2020,7,France,127.94,10.5
1993,7,France,155.02,-1.93
2000,6,France,197.66,5.65
1991,7,USA,261.61,1.01
2005,9,France,88.04,7.31
2020,5,Vietnam,230.53,0.82
1993,9,India,244.15,6.16
2017,9,USA,216.65,2.89
2005,4,Vietnam,275.28,4.19
2014,9,Germany,266.51,9.58
2002,8,Japan,282.34,5.36
1994,11,India,204.77,0.51
2019,5,UK,52.37,-1.85
1990,10,USA,264.94,6.52
1994,11,India,203.75,10.52
2003,3,France,161.54,0.61
2000,9,UK,226.4,0.37
2023,3,Vietnam,195.3,0.22
2018,3,Germany,123.61,9.02
2007,3,Vietnam,274.44,-1.96
2004,1,UK,116.15,3.81
2014,6,France,57.93,2.07
2019,3,France,89.14,6.57
1991,10,Vietnam,94.68,-1.8
2016,3,Canada,296.92,2.52
2004,9,Canada,160.68,-0.18
2021,7,Canada,190.41,4.4
2009,8,Germany,288.25,9.14
2003,1,Canada,148.1,1.86
2016,8,USA,144.83,8.21
1992,8,Canada,65.25,10.95
1992,12,France,191.23,6.44
2002,12,UK,191.88,-0.51
2014,8,Japan,211.41,10.13
2007,6,Vietnam,84.5,1.01
1990,10,Vietnam,195.06,5.38
1994,5,Japan,54.31,3.09
1991,4,France,165.25,-1.05
2019,11,Japan,207.41,-1.12
2006,9,Germany,140.55,-0.23
2018,7,Vietnam,252.6,1.78
1993,12,Canada,88.37,6.73
1998,1,UK,233.32,7.74
2010,11,India,104.43,10.86
2001,1,Canada,299.2,7.56
2001,1,UK,216.08,1.84
1993,4,UK,77.25,0.59
2017,9,Vietnam,107.11,5.75
1998,3,Vietnam,261.38,11.97
2021,10,USA,68.83,7.38
2002,1,France,145.96,7.42
2023,1,India,70.23,-0.9
2008,3,Japan,192.04,-1.67
2003,11,Germany,69.65,7.28
1994,7,India,233.35,10.26
2016,8,Japan,272.31,10.46
2017,4,Germany,131.04,-1.16
2015,12,Canada,114.61,4.15
1999,2,India,232.41,9.75
2013,7,France,56.22,8.57
2006,9,France,93.03,8.16
2005,10,Germany,60.59,3.26
2006,6,Germany,261.22,4.15
1990,2,Japan,231.3,3.61
2010,9,France,270.97,11.03
2011,7,USA,89.44,10.03
1994,9,Japan,126.84,0.03
2010,11,India,69.15,3.96
1998,2,Japan,271.02,9.21
2016,10,Japan,109.39,9.82
2001,4,Japan,228.49,11.72
2007,6,Vietnam,88.54,5.67
2024,10,Vietnam,50.28,-0.95
2004,7,Vietnam,263.07,10.72
2019,3,India,284.46,8.6
2022,10,Canada,273.68,-1.78
2019,11,India,90.0,10.19
2015,11,Canada,262.18,3.79
2010,5,Germany,212.41,1.98
2020,11,France,292.3,10.07
2006,4,Germany,96.98,5.83
2006,5,India,106.35,-0.4
2023,6,France,276.32,8.31
2013,6,Vietnam,288.87,-1.55
2022,7,Germany,151.99,9.68
1993,6,Japan,295.4,3.03
1998,6,UK,68.65,1.33
1991,4,France,221.2,-0.22
2024,2,Vietnam,250.61,7.01
2004,10,France,271.03,9.67
1992,7,Vietnam,140.05,5.72
2020,7,Vietnam,218.49,3.79
2012,11,UK,277.48,6.39
2001,3,Germany,298.59,0.05
1997,5,Canada,278.96,6.41
2010,6,Germany,235.45,9.17
2010,10,USA,208.73,9.2
2021,9,Japan,235.98,4.31
2006,3,Japan,134.13,10.82
2013,3,USA,231.26,7.39
1997,5,USA,67.39,8.49
2007,2,UK,296.54,5.69
2000,3,Japan,242.17,1.68
1999,6,Japan,207.94,-1.45
2015,3,Canada,154.32,6.95
1995,1,Vietnam,69.18,-0.97
2006,7,India,134.61,5.28
2012,7,France,261.4,9.51
2017,2,Japan,147.3,-0.55
2005,5,UK,288.92,9.83
2001,9,UK,180.41,4.29
2010,3,Vietnam,270.6,3.25
2013,8,USA,262.23,0.42
2017,4,UK,110.71,-0.42
2010,3,Canada,126.24,0.82
2022,2,UK,100.23,4.6
1991,9,Vietnam,89.67,8.46
2008,11,India,105.48,6.26
2017,5,UK,248.36,5.51
2004,9,Germany,72.03,5.79
1990,8,Germany,234.69,0.7
2017,3,USA,111.65,7.54
2024,4,Japan,175.22,9.65
2021,12,Japan,59.99,0.57
2017,6,India,226.77,4.65
1998,11,UK,87.74,2.15
2013,10,Vietnam,249.65,2.04
1993,12,UK,75.22,3.47
1992,5,France,97.82,1.22
2011,10,Vietnam,280.62,-0.18
2014,10,UK,223.09,2.61
2011,3,UK,73.27,-0.21
2023,5,UK,107.86,2.11
2009,5,Germany,217.69,10.38
2016,9,Canada,136.78,8.04
2021,4,India,247.73,9.98
2018,8,USA,292.24,10.73
2021,4,USA,220.93,11.0
2013,10,Vietnam,198.78,6.11
1992,2,Germany,120.92,3.41
2016,3,UK,269.4,10.53
1998,4,France,75.89,0.04
2012,8,UK,122.18,3.62
1996,9,France,158.9,2.25
2006,12,Canada,77.33,2.93
1996,12,Japan,98.45,3.85
2019,6,Vietnam,183.13,9.42
2002,8,USA,76.03,0.72
2007,12,Japan,143.93,9.72
2020,10,France,278.28,6.7
2011,5,France,168.46,4.1
2003,5,France,200.55,11.95
2007,8,Vietnam,100.38,4.98
2024,4,Canada,260.74,5.93
2006,3,USA,201.4,11.33
2008,10,Japan,290.6,2.05
2020,2,UK,114.69,-1.54
2004,12,UK,199.89,10.32
2018,8,UK,196.92,11.28
2005,12,India,271.85,6.26
2022,12,Japan,235.31,0.31
2014,5,India,91.2,3.83
2005,12,India,261.79,4.35
2019,6,Japan,268.08,-0.37
2023,9,UK,183.42,1.52
1991,3,Canada,172.3,11.43
2007,4,Germany,189.32,11.5
1994,12,Canada,62.6,5.48
1995,2,Canada,210.38,4.49
2001,6,Vietnam,72.8,5.49
2001,9,USA,218.02,-0.24
2001,12,Japan,284.97,6.98
1998,2,UK,219.54,10.11
2011,5,India,168.63,3.49
